FIB_slow1	FIB_slow2	FIB_slow3	FIB_slow4	FIB_m1	FIB_m2	FIB_fast1	FIB_fast2	FIB_fast3	FIB_fast4
ENSMUSG00000001270	929.382605016605	857.46914778248	1561.17766700028	1361.5227448536	745.177280779696	1045.5943697583	753.866711710162	840.55556459026	1243.67449560837	1187.13087519663
ENSMUSG00000001280	5012	4553.96890378734	3614.99320510683	3948.97218883539	5043.92794437665	5265.93699910141	4583	5013.97882735549	3367.98424096241	3916
ENSMUSG00000001281	22	9	11.4363728538189	40.4945883831072	19	22	40	46	88.2830620867485	78.0201126422902
ENSMUSG00000001285	1205.71777267079	1044.0179601943	1236.18885903502	1430.11756311862	1268.32340152048	1334.9807640831	1397.68532164398	1458.13879349169	1767.53983020564	1701.3827300265
ENSMUSG00000001288	4100	3714	3854.64142585267	4534.18522960761	4462	5274	4724	4756	4378.70180533888	5650.5674462102
ENSMUSG00000001289	2362.28222732921	1907.9820398057	2926.37409989846	3782.72696867581	2578.30685774407	3076.45915893268	3067.95845439992	3191.66549168838	4629.46016979436	4551.31309403398
ENSMUSG00000001300	608	583	421	384	398	514.950083634104	371	400.920821371763	183	121
ENSMUSG00000001305	808.582651130433	724.736043265775	802.662869960552	745.330326851832	914.562066618084	1132.11938717012	1081.93461140072	1088.36488068387	1250.02010490349	957.319632773554
ENSMUSG00000001313	357.07840482572	303.859056397184	335.349754829904	407.011068442823	313.414409351537	347.829998500295	364.316858159527	359.385249624605	452.308800434416	498.18640303516
ENSMUSG00000001323	811.622623544885	734.905111179485	648.356390516037	704.230313748244	733.63990867433	953.170497017171	845.263834675122	770.140522634617	524.103584319945	621.499223517695
