FIB_high_1	FIB_low_1	FIB_low_2	FIB_high_3	FIB_low_3	FIB_high_4	FIB_low_4
ENSMUSG00000001376	1065.44825901923	1071.1392519432	1101.3155513482	1001.44310010375	1077.59931348474	1095.22104579852	1169.76938918082
ENSMUSG00000001380	3524.10621977797	3501.57115617515	3389.83445081745	2477.91283560937	2324.21136882828	2608.82960891682	2462.94362732088
ENSMUSG00000001383	2043	2041.64330914793	1781	1814	1685	2104	1832
ENSMUSG00000001403	1621.52278241695	1593.24563676271	1122.31442297411	2466.28177187932	1783.89725233413	1404.35931923644	1166.96376878426
ENSMUSG00000001415	4373.98334441388	4809.5187084097	5309.04000831052	3249.75439829464	3740.98943243008	3212.0002761497	3543.03113530057
ENSMUSG00000001416	12327.08511523	13888.7673716821	13187.3131867038	7281.92723061439	7934.57947203977	7231.93766009471	7708.44449533807
ENSMUSG00000001418	3994.23465842538	3750.47724700744	4424.45317235864	4150.98951477916	4261.16381181828	4218.51083648799	4044.68259747154
ENSMUSG00000001419	3496.84345380106	3713.47446668615	3775.73878066377	3811.50267174659	4569.06561360471	3734.42125566829	4140.73998100891
ENSMUSG00000001420	31.1726735062447	30.6995748799595	55.2308642033612	17.7252468261532	33.3732692853049	18.7152679270761	20.0397452258682
ENSMUSG00000001424	6345.93382520941	6211.81753359291	8096.96313588611	5619.58780440342	6454.6226256921	5526.95929115391	5698.05094530775
ENSMUSG00000001435	4391.00397797771	4956.5855071491	5423.00606731749	2603.18660443626	3032.32614167268	2976.03826862742	2954.60930215293
ENSMUSG00000001436	1423	1619	1437	978	1146	1035	1124
ENSMUSG00000001440	19187	19877	18834	11771	11931	11175	10460
ENSMUSG00000001441	3137.62095749506	3064.60432282538	3121	2807.80440163906	2997.59745402241	2841.23639351632	2858.60134426253
ENSMUSG00000001444	0	0	0	0	0	0	0
ENSMUSG00000001445	1312.92899199377	1170.13347078597	1272.20066462621	1200.86979904637	1098.90686156626	1175.25663938602	1178.41488314655
ENSMUSG00000001467	8583.22758847281	6115.6735727804	7742.86633750424	6510.05306314916	6730.72203270157	7044.64472005271	6864.49211287601
ENSMUSG00000001472	2903.19635528292	2279.14283004447	2296.11013582433	2427.63633318142	2118.98087509326	2287.61738222685	1920.67571078797
ENSMUSG00000001473	7617	7076.34098436809	6686.64388998048	5612	5170	4235.15137464275	4010.55817572442
ENSMUSG00000001482	1278.02449188969	1152.65113575785	1615.07262570978	1345.33823668183	1344.05240875284	1399.84821250651	1386.66973629221
ENSMUSG00000001493	0	1	3	1	8	7	5
ENSMUSG00000001494	0	0	0	0	0	1	0
ENSMUSG00000001496	1.57414401817082	0	0	0	0	0	0
ENSMUSG00000001497	388.83872235083	373.747984025518	333.294850118878	484.738760074656	608.792790825462	429.196000012381	470.441069816433
ENSMUSG00000001504	1420.06413419384	1271.60634488469	1201.08381805127	1933.34240868622	1940.35521268432	1784.2954736369	1639.80855518691
ENSMUSG00000001506	347818	275057	561638	493700	608884.999966547	550780	570359
ENSMUSG00000001507	1204	1019	1652	951	953	1120	1060
ENSMUSG00000001508	3	7	10	14	13	11	16
ENSMUSG00000001510	8	4	3	11	6	8	3
ENSMUSG00000001517	2601.11936041184	2718.54040865986	2674.50334265174	2965.38442733051	2835.42596908207	1876.65239501636	2129.72094077567
ENSMUSG00000001518	354.814016389384	421.363517822075	333.721205102236	462.908302720595	544.65598518741	380.231698698226	565.856308106257
ENSMUSG00000001520	34.2534720503822	40.6629495374496	33.256721431277	21.0624256421812	42.662973315421	29.6689307167019	34.0120947551866
