ESC_high_1	ESC_low_1	ESC_high_2	ESC_low_2	ESC_high_3	ESC_low_3	ESC_high_4	ESC_low_4
ENSMUSG00000000567	3.00454437555764	1	10.1262016197369	0	0	3.00539995988627	3	4.01828054320176
ENSMUSG00000000568	10709.4768547989	1651.10580639068	9941.44581785605	8663.9171398596	9805.75467771059	7656.87544529367	8892.64405455392	10425.9762332664
ENSMUSG00000000579	155.417986362013	40.2284309611042	197.194012313353	258.712225500198	250.549523466557	391.421188546963	285.536900313121	317.50480248139
ENSMUSG00000000581	1010	233	1139	1054	1158	1164	940	1004
ENSMUSG00000000594	796	115	777	673	529	583	1478	1339
ENSMUSG00000000600	720.7405077165	79.5006230806753	549.746963334137	840.447768771172	623.42256093647	695.960744487629	632.552361108327	556.801808826655
ENSMUSG00000000605	154.023709615511	24.8164471139163	107.121593778574	130.594882147191	94.9246087196274	101.344969710413	74.1911377953611	80.4754564952685
ENSMUSG00000000606	0	0	0	2	1	3	1	0
ENSMUSG00000000617	2	1	0	1	0	3	1	0
ENSMUSG00000000627	391.223040500105	69.8722003560878	346.390648581839	376.257965442077	370.007357288764	429.879321280131	508.880252930054	507.120433126403
ENSMUSG00000000628	9641.27968897841	1475	9046.52041055097	8589.25174910988	9439	7350.46087139233	9997.04076258513	9594
ENSMUSG00000000631	907.988973104887	150.812889793627	844.67870277689	832.9887403101	930.869843457253	897.699803350241	1980.43227228503	1850.36153184462
ENSMUSG00000000632	7.00542670591524	2	11.0078456734854	16	13	36	13.0301170792824	17
ENSMUSG00000000673	1	1	1	0	6	2	35	42
ENSMUSG00000000682	2	0	2	1	5	0	7	3
ENSMUSG00000000686	12	0	13.1502633893994	5	15	10	20.0845812805046	6.48622025135727
ENSMUSG00000000690	0	0	0	0	0	0	0	0
ENSMUSG00000000693	78.2242650316926	11.6263573341405	52.6113613845324	79.4531520202679	73.6856065920954	83.0422427222233	74.3778425270493	87.7955301027918
